date_mm_dd_yyyy,route_shift,route_name,building_name,any_birds_found_on_route_shift,building_face_direction,species,found_dead_alive
2019-09-21,PM,North Quad,Beckman Institute_228,Yes,East,Unidentifiable,Dead
2019-09-24,AM,South Quad,Business Instructional Facility_1206,Yes,South,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-24,PM,North Quad,National Center for Supercomputing Applications_564,Yes,North,Unidentifiable,Dead
2019-09-24,PM,North Quad,Beckman Institute_228,Yes,North,Rose-breasted Grosbeak_Pheucticus ludovicianus,Dead
2019-09-24,PM,North Quad,National Center for Supercomputing Applications_564,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-24,NA,South Quad,Education Building_160,Yes,West,Magnolia Warbler_Setophaga magnolia,Dead
2019-09-24,PM,Main Quad,Center for Wounded Veterans in Higher Education_1494,Yes,East,NA,Dead
2019-09-24,PM,Main Quad,Morrill Hall_242,Yes,West,Unidentifiable,Dead
2019-09-25,AM,North Quad,Siebel Center for Computer Science_563,Yes,East,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-25,AM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-25,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Nashville Warbler_Oreothlypis ruficapilla,Alive
2019-09-25,AM,Other (explain in notes),Chemical & Life Sciences Laboratory_70,Yes,West,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-26,AM,Main Quad,Library_41,Yes,South,Blackburnian Warbler_Setophaga fusca,Dead
2019-09-26,AM,South Quad,Business Instructional Facility_1206,Yes,South,Common Yellowthroat_Geothlypis trichas,Dead
2019-09-26,AM,South Quad,Krannert Art Museum_220,Yes,South,House Wren_Troglodytes aedon,Dead
2019-09-17,PM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-11,AM,Other (explain in notes),Education Building_160,Yes,West,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-10,AM,Other (explain in notes),Morrill Hall_242,Yes,North,Black-and-white Warbler_Mniotilta varia,Dead
2019-09-26,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-26,PM,Main Quad,Roger Adams Laboratory_116,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-26,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,West,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-26,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,West,Unidentifiable,Dead
2019-09-26,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,North,American Redstart_Setophaga ruticilla,Dead
2019-09-26,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,North,Rose-breasted Grosbeak_Pheucticus ludovicianus,Dead
2019-09-26,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-09-26,PM,Main Quad,Chemistry Annex_10,Yes,North,Swainson's Thrush_Catharus ustulatus,Dead
2019-09-26,PM,Main Quad,Illini Union Bookstore_106,Yes,"NA",Unidentifiable,Dead
2019-09-26,PM,North Quad,Coordinated Science Laboratory_148,Yes,North,Unidentifiable,Dead
2019-09-26,PM,North Quad,Coordinated Science Laboratory_148,Yes,West,Unidentifiable,Dead
2019-09-26,PM,North Quad,Beckman Institute_228,Yes,South,House Wren_Troglodytes aedon,Alive
2019-09-26,PM,North Quad,Electrical and Computer Engineering_409,Yes,North,Unidentifiable,Dead
2019-09-27,AM,South Quad,Temple Hoyne Buell Hall_339,Yes,East,Acadian Flycatcher_Empidonax virescens,Dead
2019-09-27,AM,Main Quad,Krannert Center for Performing Arts_52,Yes,East,Unidentifiable,Dead
2019-09-28,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Common Yellowthroat_Geothlypis trichas,Alive
2019-09-28,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-09-29,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-09-29,AM,South Quad,Law Building_156,Yes,North,Magnolia Warbler_Setophaga magnolia,Alive
2019-09-29,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Black-and-white Warbler_Mniotilta varia,Alive
2019-09-28,AM,North Quad,National Center for Supercomputing Applications_564,Yes,North,Unidentifiable,Dead
2019-09-29,AM,North Quad,Beckman Institute_228,Yes,North,Red-eyed Vireo_Vireo olivaceus,Dead
2019-09-29,PM,Main Quad,Carl R. Woese Institute for Genomic Biology_1080,Yes,North,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-09-28,AM,North Quad,North Campus Parking Deck_1094,Yes,East,Yellow-bellied Sapsucker_Sphyrapicus varius,Dead
2019-09-28,AM,North Quad,Beckman Institute_228,Yes,South,Magnolia Warbler_Setophaga magnolia,Dead
2019-09-28,AM,North Quad,Micro and Nanotechnology Laboratory_237,Yes,South,Unidentifiable,Dead
2019-09-29,AM,North Quad,Beckman Institute_228,Yes,South,Ovenbird_Seiurus aurocapilla,Dead
2019-09-29,AM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-29,AM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-29,AM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-29,AM,North Quad,Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-09-30,AM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Gray Catbird_Dumetella carolinensis,Dead
2019-09-30,PM,North Quad,Electrical and Computer Engineering_409,Yes,North,Black-and-white Warbler_Mniotilta varia,Dead
2019-10-01,PM,North Quad,Beckman Institute_228,Yes,North,Blackpoll Warbler_Setophaga striata,Dead
2019-10-01,PM,North Quad,Electrical and Computer Engineering_409,Yes,North,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-10-01,PM,South Quad,Temple Hoyne Buell Hall_339,Yes,East,Magnolia Warbler_Setophaga magnolia,Dead
2019-10-02,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Unidentifiable,Dead
2019-10-02,PM,North Quad,Beckman Institute_228,Yes,East,American Redstart_Setophaga ruticilla,Dead
2019-10-02,AM,South Quad,Law Building_156,Yes,North,Swainson's Thrush_Catharus ustulatus,Dead
2019-10-02,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Unidentifiable,Dead
2019-10-03,AM,North Quad,Electrical and Computer Engineering_409,Yes,North,House Wren_Troglodytes aedon,Alive
2019-10-03,AM,North Quad,Micro and Nanotechnology Laboratory_237,Yes,East,Common Yellowthroat_Geothlypis trichas,Alive
2019-10-03,AM,North Quad,Beckman Institute_228,Yes,East,Black-throated Green Warbler_Setophaga virens,Alive
